"target_child_age_months","speaker_role","collection_name","word_count"
0,"Father","Eng-NA",258164
0,"Father","Eng-UK",94976
0,"Mother","Eng-NA",1858890
0,"Mother","Eng-UK",2070627
0,"Target_Child","Eng-NA",773023
0,"Target_Child","Eng-UK",803076
1,"Father","Eng-NA",449638
1,"Father","Eng-UK",155467
1,"Mother","Eng-NA",1797721
1,"Mother","Eng-UK",2799395
1,"Target_Child","Eng-NA",1748588
1,"Target_Child","Eng-UK",1397839
2,"Father","Eng-NA",36346
2,"Mother","Eng-NA",265184
2,"Target_Child","Eng-NA",278732
2,"Target_Child","Eng-UK",54964
3,"Father","Eng-NA",9540
3,"Mother","Eng-NA",79429
3,"Target_Child","Eng-NA",149410
4,"Father","Eng-NA",2425
4,"Mother","Eng-NA",9132
4,"Target_Child","Eng-NA",15009
6,"Target_Child","Eng-NA",15642
7,"Mother","Eng-NA",2348
7,"Target_Child","Eng-NA",442
NA,"Father","Eng-NA",138494
NA,"Father","Eng-UK",3386
NA,"Mother","Eng-NA",654130
NA,"Mother","Eng-UK",44959
NA,"Target_Child","Eng-NA",229900
NA,"Target_Child","Eng-UK",799
